1,0
0.99661,0.00001
0.98645,0.00017
0.96968,0.00076
0.94658,0.00205
0.91757,0.00425
0.88317,0.00749
0.84402,0.01186
0.80081,0.01734
0.75427,0.02387
0.70515,0.03129
0.65421,0.03938
0.60219,0.04788
0.54979,0.05649
0.49766,0.06489
0.44641,0.07275
0.39658,0.07974
0.34865,0.08557
0.30303,0.08995
0.2601,0.09267
0.22016,0.09352
0.18347,0.09232
0.15009,0.08885
0.11991,0.08321
0.09297,0.07564
0.06926,0.06641
0.04882,0.05595
0.03181,0.04468
0.01835,0.03299
0.0085,0.02134
0.00233,0.01028
0.00024,0.00305
0,0.00035
0,0
0.00014,-0.00212
0.00045,-0.00359
0.00099,-0.00488
0.00187,-0.00603
0.00309,-0.00715
0.00545,-0.00881
0.00838,-0.01044
0.01152,-0.01193
0.02649,-0.01706
0.04672,-0.02169
0.07183,-0.02566
0.10163,-0.02874
0.136,-0.03096
0.17465,-0.0325
0.21708,-0.03348
0.2628,-0.03394
0.31126,-0.03395
0.36188,-0.03355
0.41406,-0.03277
0.46721,-0.03164
0.5207,-0.0302
0.57391,-0.02849
0.62621,-0.02651
0.677,-0.0243
0.72567,-0.02185
0.77168,-0.01913
0.81462,-0.01607
0.85418,-0.01277
0.89,-0.00947
0.92168,-0.00641
0.94871,-0.00384
0.97057,-0.00191
0.98671,-0.00071
0.99664,-0.00014
1,0
